date,mean,count,score
2018-01-02,-0.5,2,0.29124579124579125
2018-01-03,0.0,3,0.29292929292929293
2018-01-04,0.25,4,0.2962962962962963
2018-01-05,0.0,6,0.29292929292929293
2018-01-07,0.5,2,0.2946127946127946
2018-01-08,0.09090909090909091,11,0.3021885521885522
2018-01-09,-0.14285714285714285,7,0.28703703703703703
2018-01-10,0.3333333333333333,3,0.29545454545454547
2018-01-11,-0.25,4,0.2895622895622896
2018-01-12,0.5,2,0.2946127946127946
2018-01-14,0.0,2,0.29292929292929293
2018-01-15,0.0,3,0.29292929292929293
2018-01-16,0.0,2,0.29292929292929293
2018-01-17,-0.25,4,0.2895622895622896
2018-01-18,0.0625,16,0.3063973063973064
2018-01-19,0.0,10,0.29292929292929293
2018-01-21,0.3333333333333333,3,0.29545454545454547
2018-01-22,0.2857142857142857,7,0.3047138047138047
2018-01-23,0.2222222222222222,9,0.30808080808080807
2018-01-24,0.0,2,0.29292929292929293
2018-01-25,0.25,8,0.3063973063973064
2018-01-26,0.0,6,0.29292929292929293
2018-01-27,-1.0,1,0.29208754208754206
2018-01-28,0.0,1,0.29292929292929293
2018-01-29,-0.4,5,0.2845117845117845
2018-01-30,0.08333333333333333,12,0.30303030303030304
2018-01-31,0.2,5,0.29713804713804715
2018-02-01,1.0,3,0.3005050505050505
2018-02-02,-0.42857142857142855,7,0.27525252525252525
2018-02-03,-1.0,1,0.29208754208754206
2018-02-04,0.0,1,0.29292929292929293
2018-02-05,0.0,7,0.29292929292929293
2018-02-06,0.0,5,0.29292929292929293
2018-02-07,-0.3333333333333333,6,0.2828282828282828
2018-02-08,0.0,11,0.29292929292929293
2018-02-09,0.2,5,0.29713804713804715
2018-02-12,-0.25,4,0.2895622895622896
2018-02-13,0.0,9,0.29292929292929293
2018-02-14,0.2857142857142857,7,0.3047138047138047
2018-02-15,0.5,6,0.30808080808080807
2018-02-16,0.6666666666666666,3,0.29797979797979796
2018-02-20,0.0,4,0.29292929292929293
2018-02-21,0.0,2,0.29292929292929293
2018-02-22,0.25,4,0.2962962962962963
2018-02-23,0.0,3,0.29292929292929293
2018-02-24,-0.3333333333333333,3,0.2904040404040404
2018-02-26,-0.09090909090909091,11,0.2836700336700337
2018-02-27,0.0,4,0.29292929292929293
2018-02-28,0.0,3,0.29292929292929293
2018-03-01,0.0,3,0.29292929292929293
2018-03-04,1.0,1,0.2937710437710438
2018-03-05,0.2,5,0.29713804713804715
2018-03-06,0.5,6,0.30808080808080807
2018-03-07,-0.3333333333333333,6,0.2828282828282828
2018-03-08,0.3333333333333333,3,0.29545454545454547
2018-03-09,0.0,5,0.29292929292929293
2018-03-11,0.0,1,0.29292929292929293
2018-03-12,0.2,5,0.29713804713804715
2018-03-13,-0.3333333333333333,3,0.2904040404040404
2018-03-14,-0.25,4,0.2895622895622896
2018-03-15,-0.125,8,0.28619528619528617
2018-03-16,0.16666666666666666,6,0.29797979797979796
2018-03-18,0.0,1,0.29292929292929293
2018-03-19,-0.4,5,0.2845117845117845
2018-03-20,-0.25,4,0.2895622895622896
2018-03-21,0.2,5,0.29713804713804715
2018-03-22,0.0,8,0.29292929292929293
2018-03-23,0.6666666666666666,3,0.29797979797979796
2018-03-26,-0.25,4,0.2895622895622896
2018-03-27,0.16666666666666666,6,0.29797979797979796
2018-03-28,-0.25,8,0.27946127946127947
2018-03-29,0.0,8,0.29292929292929293
2018-03-30,0.0,1,0.29292929292929293
2018-03-31,0.0,3,0.29292929292929293
2018-04-02,-0.4,5,0.2845117845117845
2018-04-03,0.14285714285714285,7,0.2988215488215488
2018-04-04,0.4,5,0.30134680134680136
2018-04-05,-0.2,5,0.2887205387205387
2018-04-06,-0.5,2,0.29124579124579125
2018-04-09,0.0,2,0.29292929292929293
2018-04-10,0.0,1,0.29292929292929293
2018-04-11,0.0,2,0.29292929292929293
2018-04-12,-0.5,2,0.29124579124579125
2018-04-13,0.3333333333333333,3,0.29545454545454547
2018-04-15,-1.0,1,0.29208754208754206
2018-04-16,0.0,7,0.29292929292929293
2018-04-17,0.6,5,0.3055555555555556
2018-04-18,0.2222222222222222,9,0.30808080808080807
2018-04-19,-0.5,4,0.28619528619528617
2018-04-20,1.0,2,0.2962962962962963
2018-04-23,-0.14285714285714285,7,0.28703703703703703
2018-04-24,-0.16666666666666666,6,0.2878787878787879
2018-04-25,0.0,4,0.29292929292929293
2018-04-26,0.7272727272727273,11,0.367003367003367
2018-04-27,-0.1111111111111111,9,0.28535353535353536
2018-04-29,0.5,2,0.2946127946127946
2018-04-30,0.2,5,0.29713804713804715
2018-05-01,0.0,6,0.29292929292929293
2018-05-02,0.0,7,0.29292929292929293
2018-05-03,0.0,3,0.29292929292929293
2018-05-04,0.0,2,0.29292929292929293
2018-05-05,0.0,1,0.29292929292929293
2018-05-07,0.0,8,0.29292929292929293
2018-05-08,0.5,2,0.2946127946127946
2018-05-09,0.0,10,0.29292929292929293
2018-05-10,-0.3333333333333333,3,0.2904040404040404
2018-05-11,0.25,4,0.2962962962962963
