date,mean,count,score
2018-01-03,0.0,2,0.3450134770889488
2018-01-04,-1.0,2,0.3423180592991914
2018-01-05,-0.5,2,0.3436657681940701
2018-01-07,0.0,1,0.3450134770889488
2018-01-08,0.0,1,0.3450134770889488
2018-01-09,-0.6666666666666666,6,0.3288409703504043
2018-01-10,0.0,2,0.3450134770889488
2018-01-11,1.0,1,0.34568733153638814
2018-01-12,0.0,1,0.3450134770889488
2018-01-13,0.0,1,0.3450134770889488
2018-01-16,-1.0,1,0.34433962264150947
2018-01-17,-0.5,2,0.3436657681940701
2018-01-21,0.0,1,0.3450134770889488
2018-01-22,0.6666666666666666,3,0.34905660377358494
2018-01-23,0.0,2,0.3450134770889488
2018-01-24,0.0,3,0.3450134770889488
2018-01-25,0.0,3,0.3450134770889488
2018-01-26,0.0,3,0.3450134770889488
2018-01-29,0.5,2,0.34636118598382754
2018-01-30,-1.0,1,0.34433962264150947
2018-01-31,0.3333333333333333,3,0.3470350404312669
2018-02-01,0.0,2,0.3450134770889488
2018-02-02,-1.0,1,0.34433962264150947
2018-02-05,0.0,1,0.3450134770889488
2018-02-06,0.0,1,0.3450134770889488
2018-02-07,0.5,2,0.34636118598382754
2018-02-08,0.0,2,0.3450134770889488
2018-02-09,0.0,1,0.3450134770889488
2018-02-13,0.4,5,0.35175202156334234
2018-02-14,0.5,2,0.34636118598382754
2018-02-15,1.0,2,0.3477088948787062
2018-02-20,0.0,1,0.3450134770889488
2018-02-21,-1.0,1,0.34433962264150947
2018-02-24,0.0,1,0.3450134770889488
2018-02-25,0.0,1,0.3450134770889488
2018-02-26,0.0,2,0.3450134770889488
2018-02-27,1.0,2,0.3477088948787062
2018-02-28,1.0,2,0.3477088948787062
2018-03-02,-1.0,1,0.34433962264150947
2018-03-07,0.0,1,0.3450134770889488
2018-03-12,0.5,2,0.34636118598382754
2018-03-13,1.0,1,0.34568733153638814
2018-03-14,0.0,1,0.3450134770889488
2018-03-19,0.25,4,0.3477088948787062
2018-03-20,-0.25,4,0.3423180592991914
2018-03-21,0.0,1,0.3450134770889488
2018-03-22,0.375,8,0.3611859838274933
2018-03-23,0.6,5,0.3551212938005391
2018-03-25,0.0,1,0.3450134770889488
2018-03-26,0.5,4,0.3504043126684636
2018-03-27,0.25,4,0.3477088948787062
2018-03-28,-0.14285714285714285,7,0.34029649595687333
2018-03-30,0.0,1,0.3450134770889488
2018-04-02,-0.3333333333333333,3,0.34299191374663074
2018-04-03,1.0,2,0.3477088948787062
2018-04-04,0.0,3,0.3450134770889488
2018-04-06,1.0,1,0.34568733153638814
2018-04-09,0.0,4,0.3450134770889488
2018-04-10,0.0,3,0.3450134770889488
2018-04-11,0.3333333333333333,3,0.3470350404312669
2018-04-12,0.0,3,0.3450134770889488
2018-04-13,0.0,1,0.3450134770889488
2018-04-16,0.3333333333333333,3,0.3470350404312669
2018-04-17,0.5,2,0.34636118598382754
2018-04-18,0.0,1,0.3450134770889488
2018-04-19,0.0,2,0.3450134770889488
2018-04-20,-1.0,1,0.34433962264150947
2018-04-23,1.0,1,0.34568733153638814
2018-04-25,0.0,1,0.3450134770889488
2018-04-26,0.25,4,0.3477088948787062
