date,mean,count,score
2018-01-02,0.0,2,0.6774193548387096
2018-01-03,1.0,2,0.6785714285714285
2018-01-04,0.16666666666666666,6,0.6791474654377879
2018-01-05,0.5,2,0.6779953917050691
2018-01-06,0.0,1,0.6774193548387096
2018-01-09,0.5,2,0.6779953917050691
2018-01-15,0.0,1,0.6774193548387096
2018-01-16,0.0,1,0.6774193548387096
2018-01-18,0.0,1,0.6774193548387096
2018-01-22,0.5,2,0.6779953917050691
2018-01-23,0.0,3,0.6774193548387096
2018-01-24,0.5,2,0.6779953917050691
2018-01-26,0.0,1,0.6774193548387096
2018-01-29,0.0,2,0.6774193548387096
2018-01-30,0.0,1,0.6774193548387096
2018-02-01,0.0,1,0.6774193548387096
2018-02-02,1.0,1,0.6777073732718893
2018-02-05,0.3333333333333333,3,0.6782834101382488
2018-02-06,0.5,2,0.6779953917050691
2018-02-07,-0.16666666666666666,6,0.6756912442396313
2018-02-08,-0.25,4,0.6762672811059908
2018-02-15,0.0,1,0.6774193548387096
2018-02-20,0.0,1,0.6774193548387096
2018-02-21,1.0,1,0.6777073732718893
2018-02-22,0.5,2,0.6779953917050691
2018-02-23,0.0,1,0.6774193548387096
2018-02-26,0.0,1,0.6774193548387096
2018-02-27,0.0,1,0.6774193548387096
2018-03-05,0.25,4,0.6785714285714285
2018-03-12,-1.0,1,0.6771313364055299
2018-03-14,-0.5,2,0.6768433179723502
2018-03-19,0.0,1,0.6774193548387096
2018-03-20,-0.3333333333333333,3,0.6765552995391705
2018-03-21,0.0,5,0.6774193548387096
2018-03-23,-0.3333333333333333,3,0.6765552995391705
2018-03-26,-0.3333333333333333,3,0.6765552995391705
2018-03-27,-0.6666666666666666,3,0.6756912442396313
2018-03-28,0.0,8,0.6774193548387096
2018-03-29,-0.5,2,0.6768433179723502
2018-03-31,0.0,1,0.6774193548387096
2018-04-02,-0.16666666666666666,6,0.6756912442396313
2018-04-03,-0.14285714285714285,7,0.6754032258064515
2018-04-04,0.2,5,0.6788594470046082
2018-04-05,0.0,2,0.6774193548387096
2018-04-09,1.0,1,0.6777073732718893
2018-04-10,0.0,2,0.6774193548387096
2018-04-11,1.0,1,0.6777073732718893
2018-04-12,0.0,1,0.6774193548387096
2018-04-13,0.5,2,0.6779953917050691
2018-04-17,-0.2,5,0.675979262672811
2018-04-18,-1.0,1,0.6771313364055299
2018-04-19,0.0,1,0.6774193548387096
2018-04-21,0.0,1,0.6774193548387096
2018-04-23,0.0,1,0.6774193548387096
2018-04-25,-0.5,2,0.6768433179723502
2018-05-02,0.4,5,0.6802995391705069
2018-05-03,-0.125,8,0.6751152073732718
2018-05-04,0.0,4,0.6774193548387096
2018-05-07,-1.0,1,0.6771313364055299
2018-05-09,0.0,2,0.6774193548387096
2018-05-11,0.0,1,0.6774193548387096
2018-05-12,0.0,1,0.6774193548387096
2018-05-13,0.0,1,0.6774193548387096
2018-05-14,0.0,6,0.6774193548387096
2018-05-15,-0.5,2,0.6768433179723502
2018-05-16,0.0,1,0.6774193548387096
2018-05-17,0.0,2,0.6774193548387096
2018-05-18,-0.5,2,0.6768433179723502
2018-05-21,1.0,2,0.6785714285714285
2018-05-22,-0.3333333333333333,3,0.6765552995391705
2018-05-23,0.0,1,0.6774193548387096
2018-05-24,0.0,3,0.6774193548387096
2018-05-29,-0.3333333333333333,3,0.6765552995391705
2018-05-30,1.0,1,0.6777073732718893
2018-05-31,1.0,1,0.6777073732718893
2018-06-01,1.0,1,0.6777073732718893
2018-06-04,1.0,1,0.6777073732718893
2018-06-05,0.0,1,0.6774193548387096
2018-06-06,0.3333333333333333,6,0.6808755760368663
2018-06-07,0.6666666666666666,3,0.6791474654377879
2018-06-12,0.16666666666666666,6,0.6791474654377879
2018-06-13,-1.0,1,0.6771313364055299
2018-06-14,0.3333333333333333,3,0.6782834101382488
2018-06-18,0.0,1,0.6774193548387096
2018-06-19,-1.0,1,0.6771313364055299
2018-06-21,-1.0,1,0.6771313364055299
2018-06-22,-0.6666666666666666,3,0.6756912442396313
2018-06-25,0.0,2,0.6774193548387096
2018-06-26,0.3333333333333333,3,0.6782834101382488
2018-06-27,-1.0,1,0.6771313364055299
2018-06-28,0.0,1,0.6774193548387096
2018-06-29,-0.5,2,0.6768433179723502
2018-06-30,0.0,1,0.6774193548387096
2018-07-01,0.0,1,0.6774193548387096
2018-07-02,0.5,4,0.6797235023041475
2018-07-03,-0.5,2,0.6768433179723502
2018-07-05,-1.0,1,0.6771313364055299
2018-07-09,-0.5,2,0.6768433179723502
2018-07-10,0.6666666666666666,3,0.6791474654377879
2018-07-11,-0.5,2,0.6768433179723502
2018-07-12,0.0,1,0.6774193548387096
2018-07-13,-1.0,1,0.6771313364055299
2018-07-16,0.0,2,0.6774193548387096
2018-07-17,1.0,1,0.6777073732718893
2018-07-18,-0.25,4,0.6762672811059908
2018-07-19,-0.25,4,0.6762672811059908
2018-07-20,0.0,1,0.6774193548387096
2018-07-22,0.0,1,0.6774193548387096
2018-07-23,0.3333333333333333,6,0.6808755760368663
2018-07-25,-1.0,1,0.6771313364055299
2018-07-26,0.0,1,0.6774193548387096
2018-07-30,-1.0,1,0.6771313364055299
2018-08-01,0.2,5,0.6788594470046082
2018-08-02,0.25,4,0.6785714285714285
2018-08-03,1.0,2,0.6785714285714285
2018-08-07,0.14285714285714285,7,0.6794354838709677
2018-08-08,0.0,7,0.6774193548387096
2018-08-09,-0.4,5,0.6745391705069124
2018-08-10,-0.3333333333333333,3,0.6765552995391705
2018-08-11,0.0,1,0.6774193548387096
